"Number","Player Name","Total Pts","State","Pre_Rating","Opponents_Avg_Pre_Rating"
"    1 "," GARY HUA                        ","6.0  ","   ON ","1794",1605.28571428571
"    2 "," DAKSHESH DARURI                 ","6.0  ","   MI ","1553",1469.28571428571
"    3 "," ADITYA BAJAJ                    ","6.0  ","   MI ","1384",1563.57142857143
"    4 "," PATRICK H SCHILLING             ","5.5  ","   MI ","1716",1573.57142857143
"    5 "," HANSHI ZUO                      ","5.5  ","   MI ","1655",1500.85714285714
"    6 "," HANSEN SONG                     ","5.0  ","   OH ","1686",1518.71428571429
"    7 "," GARY DEE SWATHELL               ","5.0  ","   MI ","1649",1372.14285714286
"    8 "," EZEKIEL HOUGHTON                ","5.0  ","   MI ","1641",1468.42857142857
"    9 "," STEFANO LEE                     ","5.0  ","   ON ","1411",1523.14285714286
"   10 "," ANVIT RAO                       ","5.0  ","   MI ","1365",1554.14285714286
"   11 "," CAMERON WILLIAM MC LEMAN        ","4.5  ","   MI ","1712",1467.57142857143
"   12 "," KENNETH J TACK                  ","4.5  ","   MI ","1663",1506.16666666667
"   13 "," TORRANCE HENRY JR               ","4.5  ","   MI ","1666",1497.85714285714
"   14 "," BRADLEY SHAW                    ","4.5  ","   MI ","1610",1515
"   15 "," ZACHARY JAMES HOUGHTON          ","4.5  ","   MI ","1220",1483.85714285714
"   16 "," MIKE NIKITIN                    ","4.0  ","   MI ","1604",1385.8
"   17 "," RONALD GRZEGORCZYK              ","4.0  ","   MI ","1629",1498.57142857143
"   18 "," DAVID SUNDEEN                   ","4.0  ","   MI ","1600",1480
"   19 "," DIPANKAR ROY                    ","4.0  ","   MI ","1564",1426.28571428571
"   20 "," JASON ZHENG                     ","4.0  ","   MI ","1595",1410.85714285714
"   21 "," DINH DANG BUI                   ","4.0  ","   ON ","1563",1470.42857142857
"   22 "," EUGENE L MCCLURE                ","4.0  ","   MI ","1555",1300.33333333333
"   23 "," ALAN BUI                        ","4.0  ","   ON ","1363",1213.85714285714
"   24 "," MICHAEL R ALDRICH               ","4.0  ","   MI ","1229",1357
"   25 "," LOREN SCHWIEBERT                ","3.5  ","   MI ","1745",1363.28571428571
"   26 "," MAX ZHU                         ","3.5  ","   ON ","1579",1506.85714285714
"   27 "," GAURAV GIDWANI                  ","3.5  ","   MI ","1552",1221.66666666667
"   28 "," SOFIA ADINA STANESCU-BELLU      ","3.5  ","   MI ","1507",1522.14285714286
"   29 "," CHIEDOZIE OKORIE                ","3.5  ","   MI ","1602",1313.5
"   30 "," GEORGE AVERY JONES              ","3.5  ","   ON ","1522",1144.14285714286
"   31 "," RISHI SHETTY                    ","3.5  ","   MI ","1494",1259.85714285714
"   32 "," JOSHUA PHILIP MATHEWS           ","3.5  ","   ON ","1441",1378.71428571429
"   33 "," JADE GE                         ","3.5  ","   MI ","1449",1276.85714285714
"   34 "," MICHAEL JEFFERY THOMAS          ","3.5  ","   MI ","1399",1375.28571428571
"   35 "," JOSHUA DAVID LEE                ","3.5  ","   MI ","1438",1149.71428571429
"   36 "," SIDDHARTH JHA                   ","3.5  ","   MI ","1355",1388.16666666667
"   37 "," AMIYATOSH PWNANANDAM            ","3.5  ","   MI ","980",1384.8
"   38 "," BRIAN LIU                       ","3.0  ","   MI ","1423",1539.16666666667
"   39 "," JOEL R HENDON                   ","3.0  ","   MI ","1436",1429.57142857143
"   40 "," FOREST ZHANG                    ","3.0  ","   MI ","1348",1390.57142857143
"   41 "," KYLE WILLIAM MURPHY             ","3.0  ","   MI ","1403",1248.5
"   42 "," JARED GE                        ","3.0  ","   MI ","1332",1149.85714285714
"   43 "," ROBERT GLEN VASEY               ","3.0  ","   MI ","1283",1106.57142857143
"   44 "," JUSTIN D SCHILLING              ","3.0  ","   MI ","1199",1327
"   45 "," DEREK YAN                       ","3.0  ","   MI ","1242",1152
"   46 "," JACOB ALEXANDER LAVALLEY        ","3.0  ","   MI ","377",1357.71428571429
"   47 "," ERIC WRIGHT                     ","2.5  ","   MI ","1362",1392
"   48 "," DANIEL KHAIN                    ","2.5  ","   MI ","1382",1355.8
"   49 "," MICHAEL J MARTIN                ","2.5  ","   MI ","1291",1285.8
"   50 "," SHIVAM JHA                      ","2.5  ","   MI ","1056",1296
"   51 "," TEJAS AYYAGARI                  ","2.5  ","   MI ","1011",1356.14285714286
"   52 "," ETHAN GUO                       ","2.5  ","   MI ","935",1494.57142857143
"   53 "," JOSE C YBARRA                   ","2.0  ","   MI ","1393",1345.33333333333
"   54 "," LARRY HODGE                     ","2.0  ","   MI ","1270",1206.16666666667
"   55 "," ALEX KONG                       ","2.0  ","   MI ","1186",1406
"   56 "," MARISA RICCI                    ","2.0  ","   MI ","1153",1414.4
"   57 "," MICHAEL LU                      ","2.0  ","   MI ","1092",1363
"   58 "," VIRAJ MOHILE                    ","2.0  ","   MI ","917",1391
"   59 "," SEAN M MC CORMICK               ","2.0  ","   MI ","853",1319
"   60 "," JULIA SHEN                      ","1.5  ","   MI ","967",1330.2
"   61 "," JEZZEL FARKAS                   ","1.5  ","   ON ","955",1327.28571428571
"   62 "," ASHWIN BALAJI                   ","1.0  ","   MI ","1530",1186
"   63 "," THOMAS JOSEPH HOSMER            ","1.0  ","   MI ","1175",1350.2
"   64 "," BEN LI                          ","1.0  ","   MI ","1163",1263
